"Name","StudentTotal","InternationalStudentTotal","FacultyTotal","Tuition","Street","City","State","Locale","longitude","latitude"
"University of Massachusetts-Boston","20210","804","1641","25727.0","100 Morrissey Blvd","Boston","Massachusetts","city","-71.0403304","42.3143222"
"University of Massachusetts-Dartmouth","10663","289","1140","35012.0","285 Old Westport Rd","North Dartmouth","Massachusetts","suburb","-71.0059875","41.6241366"
"University of Massachusetts-Lowell","18354","535","1498","37020.0","1 University Ave","Lowell","Massachusetts","suburb","-71.3250036","42.6539217"
"Western New England University","4138","30","615","45571.0","1215 Wilbraham Rd","Springfield","Massachusetts","city","-72.522712","42.11338569999999"
"Worcester Polytechnic Institute","5724","827","929","54164.0","100 Institute Road","Worcester","Massachusetts","city","-71.8066738","42.2745984"
"Bowie State University","6220","108","678","30063.0","14000 Jericho Park Rd","Bowie","Maryland","suburb","-76.7612748","39.0167504"
"Johns Hopkins University","25376","3535","11955","57442.0","3400 N Charles St- Mason Hall","Baltimore","Maryland","city","-76.62155039999999","39.3259098"
"Loyola College in Maryland","6748","126","1002","54700.0","4501 N Charles St","Baltimore","Maryland","city","-76.62138","39.3461942"
"Morgan State University","8761","436","1476","29829.0","1700 East Cold Spring Lane","Baltimore","Maryland","city","-76.58498879999999","39.3475192"
"Towson University","25648","965","3456","36295.0","8000 York Rd","Towson","Maryland","city","-76.60710910000002","39.3936229"
"University of Maryland Eastern Shore","5090","226","645","27521.0","J.T. Williams Hall","Princess Anne","Maryland","town","-75.6848002","38.2102166"
"University of Maryland-Baltimore County","14756","995","1977","33677.0","1000 Hilltop Circle","Baltimore","Maryland","suburb","-76.7109835","39.2556072"
"University of Maryland-College Park","43316","3447","9600","40003.0","None","College Park","Maryland","suburb","-76.9425543","38.9869183"
"University of Maryland-University College","59200","1040","657","13288.0","3501 University Blvd East","Adelphi","Maryland","suburb","-76.9539916","38.9864985"
"University of Maine","13369","407","1827","38500.0","1","Orono","Maine","suburb","-68.6906185","44.9061345"
"University of New England","7469","35","752","46670.0","11 Hills Beach Rd","Biddeford","Maine","city","-70.384982","43.4576419"
"University of Southern Maine","12553","59","1110","36052.0","96 Falmouth St","Portland","Maine","city","-70.2777677","43.6621143"
"Andrews University","4573","762","666","32402.0","Enrollment Management","Berrien Springs","Michigan","town","-86.3551457","41.9634241"
"Central Michigan University","33352","1179","2460","32624.0","1200 South Franklin Street","Mount Pleasant","Michigan","town","-84.775677","43.59072200000001"
"Eastern Michigan University","28511","965","2346","33881.0","Eastern Michigan University","Ypsilanti","Michigan","suburb","-83.624089","42.2506803"
"Ferris State University","16908","233","1626","27378.0","1201 S State St","Big Rapids","Michigan","town","-85.4826728","43.6838576"
"Grand Valley State University","28824","397","3162","25510.0","1 Campus Dr","Allendale","Michigan","suburb","-85.8883334","42.9638087"
"Madonna University","6383","351","348","25234.0","36600 Schoolcraft Rd","Livonia","Michigan","city","-83.404726","42.3842285"
"Michigan State University","52567","5811","7731","42148.0","101 Marshall Adams Hall","East Lansing","Michigan","rural","-84.4790719","42.7323099"
"Michigan Technological University","7605","1084","1442","38252.0","1400 Townsend Drive","Houghton","Michigan","town","-88.5513295","47.1195315"
"Oakland University","23557","471","1626","34878.0","1","Rochester Hills","Michigan","suburb","-83.132122","42.675502"
"University of Detroit Mercy","6311","641","975","47792.0","4001 W McNichols Rd","Detroit","Michigan","city","-83.1367549","42.4155262"
"University of Michigan-Ann Arbor","44453","5706","17547","50352.0","603 E. Madison","Ann Arbor","Michigan","city","-83.741867","42.274416"
"University of Michigan-Dearborn","10546","403","936","22402.0","4901 Evergreen Rd","Dearborn","Michigan","city","-83.2300308","42.3189371"
"University of Michigan-Flint","8574","663","576","32119.0","303 E Kearsley St.","Flint","Michigan","city","-83.6877307","43.019911"
"Wayne State University","36749","1949","5418","32607.0","656 West Kirby Street","Detroit","Michigan","city","-83.0721008","42.35832629999999"
"Western Michigan University","28517","1384","2632","34886.0","1903 West Michigan Avenue","Kalamazoo","Michigan","city","-85.6122304","42.2851393"
"Augsburg University ","2031","58","369","50935.0","2211 Riverside Ave","Minneapolis","Minnesota","city","-93.2401161","44.9662953"
"Bethel University","5178","31","600","41300.0","3900 Bethel Dr","Saint Paul","Minnesota","suburb","-93.1624341","45.0575752"
"College of St Catherine","6124","66","861","43892.0","2004 Randolph Ave","Saint Paul","Minnesota","city","-93.185092","44.92588680000001"
"Hamline University","8902","242","630","42698.0","1536 Hewitt Avenue","Saint Paul","Minnesota","city","-93.16642720000002","44.9644191"
"Metropolitan State University","10930","191","342","14112.0","700 E Seventh St","Saint Paul","Minnesota","city","-93.0725138","44.9584153"
"Minnesota State University-Mankato","17968","756","1341","24210.0","South Rd and Ellis Ave","Mankato","Minnesota","town","-93.9999718","44.1464996"
"Saint Cloud State University","22025","1208","1461","25393.0","720 Fourth Ave. South","Saint Cloud","Minnesota","city","-94.1512367","45.5488163"
"Saint Mary's University of Minnesota","8656","239","315","37100.0","700 Terrace Heights","Winona","Minnesota","town","-91.6954102","44.0431898"
"The College of Saint Scholastica","4710","113","543","40136.0","1200 Kenwood Ave","Duluth","Minnesota","city","-92.1080999","46.8163661"
